Trace Name,Result Code,Fixpoint (ms),Termination (ms),Nontermination (ms),ULR-Baseline (ms),P-ULR-Par4,PaSTTeL Status,Stem Size,Loop Size,Total Size Trace,Algo
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_no-overflow.c/lasso_trace_4.txt,TERMINATING,0.36,1487.89,28.87,1517.12,-,NOT_SUPPORTED,11,2,13,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c/lasso_trace_2.txt,TERMINATING,2.21,132.62,144.06,278.89,4,TERMINATING,5,4,9,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c/lasso_trace_3.txt,TERMINATING,0.86,1617.87,114.92,1733.65,-,NOT_SUPPORTED,7,2,9,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2a_true-termination.c/lasso_trace_4.txt,TERMINATING,0.62,1558.03,29.68,1588.33,-,NOT_SUPPORTED,11,2,13,2-Phase Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_10.txt,TERMINATING,0.28,62.85,27.96,91.09,5,TERMINATING,14,11,25,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_11.txt,TERMINATING,0.32,119.29,55.33,174.94,5,TERMINATING,21,11,32,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_12.txt,TERMINATING,0.33,117.66,168.88,286.87,5,TERMINATING,14,13,27,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_13.txt,TERMINATING,0.65,91.29,98.05,189.99,5,TERMINATING,18,13,31,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_14.txt,TERMINATING,0.31,108.48,40.1,148.89,5,TERMINATING,25,4,29,Affine Template / Affine Template
ATVA2026_benchmark/BOOLEAN_OP//lasso_traces_AliasDarteFeautrierGonnord-SAS2010-Fig2b.c/lasso_trace_15.txt,TERMINATING,0.34,121.31,41.11,162.76,5,TERMINATING,25,15,40,Affine Template / Affine Template
